ORGID,ORGNAME,STATUSCODE,UPDATETIME
1317040011,中山醫學大學附設醫院,T,2019-01-16 17:56:01
1339060017,中國醫藥大學北港附設醫院,T,2020-03-02 17:16:40
200000000AUC00000,總統府資訊安全推動委員會,T,2020-04-23 12:30:25
200000000AU800000,總統府人事處,T,2020-04-23 12:30:25
200000000AU600000,總統府侍衛室,T,2020-04-23 12:30:25
200000000AU400000,總統府第三局,T,2020-04-23 12:30:25
200000000AUA00000,總統府政風處,T,2020-04-23 12:30:25
200000000AU300000,總統府第二局,T,2020-04-23 12:30:25
200000000AU900000,總統府主計處,T,2020-04-23 12:30:25
200000000AU700000,總統府公共事務室,T,2020-04-23 12:30:25
200000000AU200000,總統府第一局,T,2020-04-23 12:30:25
200000000AUB00000,總統府參事室,T,2020-04-23 12:30:25
200000000AU100000,總統府秘書長,T,2020-04-23 12:30:25
200000000AU500000,總統府機要室,T,2020-04-23 12:30:25
200000000AUL00000,總統府法規委員會,T,2020-04-23 12:30:25
200000000A,總統府,T,2020-04-23 12:30:25
201000000AU160000,中央研究院人事室,T,2020-04-23 12:30:37
201000000AU150000,中央研究院主計室,T,2020-04-23 12:30:37
201000000AU170000,中央研究院政風室,T,2020-04-23 12:30:37
201000000A,中央研究院,T,2020-04-23 12:30:37
202000000AU100000,國史館人事室,T,2020-04-23 12:30:15
202000000A,國史館,T,2020-04-23 12:30:15
202000000AU300000,國史館政風室,T,2020-04-23 12:30:15
202000000AU200000,國史館主計室,T,2020-04-23 12:30:15
202010000AU000002,國史館臺灣文獻館主計室,T,2020-04-23 12:30:37
202010000AU000001,國史館臺灣文獻館人事室,T,2020-04-23 12:30:37
202010000A,國史館臺灣文獻館,T,2020-04-23 12:30:37
301000000AU700000,中華民國各界慶祝109年國慶籌備委員會,T,2020-02-12 17:09:47
301000000AU660000,內政部中部辦公室-黎明,T,2019-09-05 17:38:45
301000000AU130000,內政部統計處,T,2019-09-05 17:38:44
301000000AU630001,內政部合作及人民團體司籌備處,T,2019-09-05 17:38:45
301000000AU610000,內政部戶政司,T,2019-09-05 17:38:45
301000000AU600000,內政部民政司,T,2019-09-05 17:38:45
301000000AU100000,內政部人事處,T,2019-09-05 17:38:44
301000000AU120000,內政部會計處,T,2019-09-05 17:38:44
301000000A,內政部,T,2019-09-05 17:38:44
301000000AU680000,內政部資訊中心,T,2019-09-05 17:38:45
301000000AU150000,內政部總務司,T,2019-09-05 17:38:44
301000000AU440000,內政部訴願審議委員會,T,2019-09-05 17:38:45
301000000AU010000,內政部部長室,T,2019-09-05 17:38:44
301000000AU550000,內政部政風處,T,2019-09-05 17:38:45
301000000AU650000,內政部地政司,T,2019-09-05 17:38:45
301000000AU200000,內政部法規委員會,T,2019-09-05 17:38:45
301000000AU020000,內政部秘書室,T,2019-09-05 17:38:44
301000000AU860000,內政部中部辦公室,T,2019-09-05 17:38:45
301000100GU700000,內政部國土測繪中心人事室,T,2019-09-05 17:38:45
301000100GU600000,內政部國土測繪中心東區測量隊,T,2019-09-05 17:38:45
301000100GU100000,內政部國土測繪中心北區第一測量隊,T,2019-09-05 17:38:44
301000100GU500000,內政部國土測繪中心南區第二測量隊,T,2019-09-05 17:38:45
301000100GU200000,內政部國土測繪中心北區第二測量隊,T,2019-09-05 17:38:44
301000100G,內政部國土測繪中心,T,2019-09-05 17:38:44
301000100GU400000,內政部國土測繪中心南區第一測量隊,T,2019-09-05 17:38:45
301000100GU800000,內政部國土測繪中心政風室,T,2019-09-05 17:38:45
301000100GU300000,內政部國土測繪中心中區測量隊,T,2019-09-05 17:38:45
301000100GU900000,內政部國土測繪中心主計室,T,2019-09-05 17:38:45
301000200GU350000,內政部土地重劃工程處南區第一開發隊,T,2019-09-05 17:38:45
301000200GU310000,內政部土地重劃工程處北區第一開發隊,T,2019-09-05 17:38:45
301000200G,內政部土地重劃工程處,T,2019-09-05 17:38:44
301000200GU320000,內政部土地重劃工程處北區第二開發隊,T,2019-09-05 17:38:45
301000200GU240000,內政部土地重劃工程處人事室,T,2019-09-05 17:38:45
301000200GU250000,內政部土地重劃工程處主計室,T,2019-09-05 17:38:45
301000200GU360000,內政部土地重劃工程處南區第二開發隊,T,2019-09-05 17:38:45
301000200GU330000,內政部土地重劃工程處中區第一開發隊,T,2019-09-05 17:38:45
301000200GU270000,內政部土地重劃工程處政風室,T,2019-09-05 17:38:45
301000200GU340000,內政部土地重劃工程處中區第二開發隊,T,2019-09-05 17:38:45
301020000GU200000,內政部營建署人事室,T,2019-09-05 17:38:46
301020000G,內政部營建署,T,2020-01-22 16:50:32
301020000GU210000,內政部營建署政風室,T,2019-09-05 17:38:46
301020000GU220000,內政部營建署主計室,T,2019-09-05 17:38:46
301020000GU930000,內政部營建署南區工程處,T,2019-09-05 17:38:46
301020000GU961000,內政部營建署下水道工程處北區分處,T,2019-09-05 17:38:46
301020000GU920000,內政部營建署中區工程處,T,2019-09-05 17:38:46
301020000GU962000,內政部營建署下水道工程處中區分處,T,2019-09-05 17:38:46
301020000GU963000,內政部營建署下水道工程處南區分處,T,2019-09-05 17:38:46
301020000GU950000,內政部營建署中部辦公室,T,2019-09-05 17:38:46
301020000GU960000,內政部營建署下水道工程處,T,2019-09-05 17:38:46
301020000GU910000,內政部營建署北區工程處,T,2019-09-05 17:38:46
301020700GU100000,海洋國家公園管理處人事機構,T,2019-09-05 17:39:41
301020700G,海洋國家公園管理處,T,2019-09-05 17:39:41
301020800G,墾丁國家公園管理處,T,2019-09-05 17:39:41
301020900G,玉山國家公園管理處,T,2019-09-05 17:39:41
301020900GU100000,玉山國家公園管理處主計室,T,2019-09-05 17:39:41
301021000G,陽明山國家公園管理處,T,2019-09-05 17:39:41
301021000GU100000,陽明山國家公園管理處主計機構,T,2019-09-05 17:39:41
301021100G,太魯閣國家公園管理處,T,2019-09-05 17:39:41
301021200G,雪霸國家公園管理處,T,2019-09-05 17:39:41
301021300G,金門國家公園管理處,T,2019-09-05 17:39:41
301021400G,台江國家公園管理處,T,2019-09-05 17:39:41
301021500G,國家自然公園管理處,T,2019-11-27 17:05:36
301023400GU123456,內政部營建署城鄉發展分署人事室,T,2019-09-05 17:38:47
301023400GU000066,內政部營建署城鄉發展分署主計室,T,2019-09-05 17:38:47
301023400G,內政部營建署城鄉發展分署,T,2019-09-05 17:38:47
301023400GU000051,內政部營建署城鄉發展分署政風室,T,2019-09-05 17:38:47
301060000CU000001,內政部消防署人事室,T,2019-09-05 17:38:47
301060000C,內政部消防署,T,2019-09-05 17:38:47
301060000CU550000,內政部消防署政風室,T,2019-09-05 17:38:47
301060000CU000002,內政部消防署主計室,T,2019-09-05 17:38:47
301060100C,內政部消防署基隆港務消防隊,T,2019-09-05 17:38:47
301060200C,內政部消防署臺中港務消防隊,T,2019-09-05 17:38:47
301060300C,內政部消防署高雄港務消防隊,T,2019-09-05 17:38:47
301060400C,內政部消防署花蓮港務消防隊,T,2019-09-05 17:38:47
301210000T,中央警察大學,T,2020-06-30 16:41:25
301210000TU310000,中央警察大學警察科技學院,T,2020-06-30 16:41:26
301210000TU010000,中央警察大學秘書室,T,2020-06-30 16:41:25
301210000TU240000,中央警察大學法律學系,T,2020-06-30 16:41:26
301210000TU060000,中央警察大學人事室,T,2020-06-30 16:41:25
301210000TU250000,中央警察大學交通學系,T,2020-06-30 16:41:26
301210000TU040000,中央警察大學總務處,T,2020-06-30 16:41:25
301210000TU020000,中央警察大學教務處,T,2020-06-30 16:41:25
301210000TU320000,中央警察大學防災研究所,T,2020-06-30 16:41:26
301210000TU270000,中央警察大學公共安全學系,T,2020-06-30 16:41:26
301210000TU110000,中央警察大學醫務室,T,2020-06-30 16:41:25
301210000TU210000,中央警察大學水上警察學系,T,2020-06-30 16:41:25
301210000TU050000,中央警察大學學生總隊,T,2020-06-30 16:41:25
301210000TU200000,中央警察大學消防學系,T,2020-06-30 16:41:25
301210000TU170000,中央警察大學犯罪防治學系,T,2020-06-30 16:41:25
301210000TU130000,中央警察大學推廣教育訓練中心,T,2020-06-30 16:41:25
301210000TU090000,中央警察大學科學實驗室,T,2020-06-30 16:41:25
301210000TU190000,中央警察大學資訊管理學系,T,2020-06-30 16:41:25
301210000TU160000,中央警察大學行政管理學系,T,2020-06-30 16:41:25
301210000TU150000,中央警察大學行政警察學系,T,2020-06-30 16:41:25
301210000TU290000,中央警察大學恐怖主義研究中心,T,2020-06-30 16:41:26
301210000TU070000,中央警察大學公共關係室,T,2020-06-30 16:41:25
301210000TU080000,中央警察大學主計室,T,2020-06-30 16:41:25
301210000TU180000,中央警察大學外事警察學系,T,2020-06-30 16:41:25
301210000TU100000,中央警察大學鑑識科學研究委員會,T,2020-06-30 16:41:25
301210000TU140000,中央警察大學電子計算機中心,T,2020-06-30 16:41:25
301210000TU230000,中央警察大學國境警察學系,T,2020-06-30 16:41:26
301210000TU280000,中央警察大學通識教育中心,T,2020-06-30 16:41:26
301210000TU030000,中央警察大學學生事務處,T,2020-06-30 16:41:25
301210000TU300000,中央警察大學警政管理學院,T,2020-06-30 16:41:26
301210000TU260000,中央警察大學鑑識科學學系,T,2020-06-30 16:41:26
301210000TU120000,中央警察大學圖書館,T,2020-06-30 16:41:25
301210000TU220000,中央警察大學刑事警察學系,T,2020-06-30 16:41:25
307230000NUWG0000,合作金庫商業銀行光復南路分行,T,2018-12-21 17:27:05
307230000NUF70000,合作金庫商業銀行竹東分行,T,2018-12-21 17:27:03
307230000NU760000,合作金庫商業銀行法令遵循部,T,2018-12-21 17:27:02
307230000NUO60000,合作金庫商業銀行北市二區區域中心,T,2018-12-21 17:27:04
307230000NU770000,合作金庫商業銀行資安部,T,2018-12-21 17:27:02
307230000NUV60000,合作金庫商業銀行前金分行,T,2018-12-21 17:27:05
307230000NUD50000,合作金庫商業銀行東新莊分行,T,2018-12-21 17:27:02
307230000NUZ80000,合作金庫商業銀行枋寮分行,T,2018-12-21 17:27:06
307230000NUE61000,合作金庫商業銀行林口分行,T,2018-12-21 17:27:02
307230000NUYC0000,合作金庫商業銀行雲林分行,T,2018-12-21 17:27:06
307230000NUYY0000,合作金庫商業銀行鳳松分行,T,2018-12-21 17:27:06
307230000NUK40000,合作金庫商業銀行北屯分行,T,2018-12-21 17:27:04
307230000NUK70000,合作金庫商業銀行頭份分行,T,2018-12-21 17:27:04
307230000NUWY0000,合作金庫商業銀行北土城分行,T,2018-12-21 17:27:05
307230000NUX90000,合作金庫商業銀行礁溪分行,T,2018-12-21 17:27:05
307230000NUC50000,合作金庫商業銀行新店分行,T,2018-12-21 17:27:02
307230000NUN30000,合作金庫商業銀行旗山分行,T,2018-12-21 17:27:04
307230000NUXL0000,合作金庫商業銀行北花蓮分行,T,2018-12-21 17:27:05
307230000NUH30000,合作金庫商業銀行民族分行,T,2018-12-21 17:27:03
307230000NU200000,合作金庫商業銀行蘇州高新支行,T,2020-06-23 17:05:44
307230000NU4A0000,合作金庫商業銀行資訊部,T,2018-12-21 17:27:01
307230000NU270000,合作金庫商業銀行金邊暹粒支行,T,2020-06-23 17:01:47
307230000NU710000,合作金庫商業銀行調查研究部,T,2018-12-21 17:27:02
307230000NUJ60000,合作金庫商業銀行蘆竹分行,T,2018-12-21 17:27:03
307230000NUZZ0000,合作金庫商業銀行蘆洲分行,T,2018-12-21 17:27:06
307230000NUK10000,合作金庫商業銀行中興分行,T,2018-12-21 17:27:03
307230000NUT20000,合作金庫商業銀行南興分行,T,2018-12-21 17:27:04
307230000NUU00000,合作金庫商業銀行神岡分行,T,2018-12-21 17:27:04
307230000NUC90000,合作金庫商業銀行板橋分行,T,2018-12-21 17:27:02
307230000NUE00000,合作金庫商業銀行三峽分行,T,2018-12-21 17:27:02
307230000NUF30000,合作金庫商業銀行慈文分行,T,2018-12-21 17:27:03
307230000NU410000,合作金庫商業銀行授信管理部,T,2018-12-21 17:27:01
307230000NUB00000,合作金庫商業銀行汐止分行,T,2018-12-21 17:27:02
307230000NUB90000,合作金庫商業銀行北寧分行,T,2018-12-21 17:27:02
307230000NUWT0000,合作金庫商業銀行南三重分行,T,2018-12-21 17:27:05
307230000NU170000,合作金庫商業銀行蘇州分行,T,2020-06-23 17:07:03
307230000NUW70000,合作金庫商業銀行興鳳分行,T,2018-12-21 17:27:05
307230000NUW10000,合作金庫商業銀行佳里分行,T,2018-12-21 17:27:05
307230000NUW60000,合作金庫商業銀行五甲分行,T,2018-12-21 17:27:05
307230000NUD80000,合作金庫商業銀行雙和分行,T,2018-12-21 17:27:02
307230000NUD90000,合作金庫商業銀行埔墘分行,T,2018-12-21 17:27:02
307230000NUN80000,合作金庫商業銀行潭子分行,T,2018-12-21 17:27:04
307230000NUN50000,合作金庫商業銀行南土城分行,T,2018-12-21 17:27:04
307230000NUA90000,合作金庫商業銀行松山分行,T,2018-12-21 17:27:02
307230000NUW80000,合作金庫商業銀行大發分行,T,2018-12-21 17:27:05
307230000NUP80000,合作金庫商業銀行松竹分行,T,2018-12-21 17:27:04
307230000NU970000,合作金庫商業銀行財富管理部,T,2018-12-21 17:27:02
307230000NUL80000,合作金庫商業銀行斗六分行,T,2018-12-21 17:27:04
307230000NU8A0000,合作金庫商業銀行員工訓練中心,T,2018-12-21 17:27:02
307230000NUM20000,合作金庫商業銀行朴子分行,T,2018-12-21 17:27:04
